Job Title;Employment Type;Experience Level;Expertise Level;Company Location;Salary in USD;Employee Residence;Company Size;Year
Data Engineer;Full-Time;Senior;Expert;United States;108768;United States;Medium;2023
Research Engineer;Full-Time;Senior;Expert;United States;370000;United States;Medium;2023
Research Engineer;Full-Time;Senior;Expert;United States;245000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;285000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;193900;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;240000;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;163200;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;240000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;163200;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;345000;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;234700;United States;Medium;2023
AI Scientist;Full-Time;Senior;Expert;United States;100000;Turkey;Small;2023
Finance Data Analyst;Full-Time;Entry;Junior;Nigeria;40000;Nigeria;Small;2023
Data Engineer;Full-Time;Senior;Expert;United States;241000;United States;Medium;2023
Software Data Engineer;Full-Time;Senior;Expert;United States;210000;United States;Large;2023
Machine Learning Research Engineer;Full-Time;Mid;Intermediate;Saudi Arabia;90000;Saudi Arabia;Medium;2023
